Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides H23R_1	Peptides H23R_2	Peptides H23R_3	Peptides WT_1	Peptides WT_2	Peptides WT_3	Razor + unique peptides H23R_1	Razor + unique peptides H23R_2	Razor + unique peptides H23R_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Unique peptides H23R_1	Unique peptides H23R_2	Unique peptides H23R_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type H23R_1	Identification type H23R_2	Identification type H23R_3	Identification type WT_1	Identification type WT_2	Identification type WT_3	Sequence coverage H23R_1 [%]	Sequence coverage H23R_2 [%]	Sequence coverage H23R_3 [%]	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Intensity	Intensity H23R_1	Intensity H23R_2	Intensity H23R_3	Intensity WT_1	Intensity WT_2	Intensity WT_3	LFQ intensity H23R_1	LFQ intensity H23R_2	LFQ intensity H23R_3	LFQ intensity WT_1	LFQ intensity WT_2	LFQ intensity WT_3	MS/MS Count H23R_1	MS/MS Count H23R_2	MS/MS Count H23R_3	MS/MS Count WT_1	MS/MS Count WT_2	MS/MS Count WT_3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P04179|SODM_HUMAN	sp|P04179|SODM_HUMAN	3	3	3		1	3	3	3	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	3	2	2	22.5	22.5	22.5	24.722	222	222	0	38.264	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.2	16.2	16.2	22.5	16.2	16.2	32753000	4656000	4685600	5827400	7574700	3655900	6352900	4774100	5504100	5647600	5831100	4468900	5370900	2	2	2	3	2	2	13				284	319;2257;2815	True;True;True	323;2292;2855	1863;1864;1865;1866;1867;1868;13512;16971;16972;16973;16974;16975;16976	1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;13571;17025	1919;13571;17025		
sp|P04181|OAT_HUMAN	sp|P04181|OAT_HUMAN	2	2	2		1	2	2	2	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	7.7	7.7	7.7	48.534	439	439	0.00084034	11.013	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	4.1	7.7	4.1	7.7	4.1	4.1	8663100	823530	1186700	523240	3845000	912930	1371700	0	0	0	3758300	0	0	0	0	0	0	0	1	1				285	2897;7876	True;True	2939;8029	17559;17560;48712;48713;48714;48715;48716;48717	17625;49069	17625;49069		
sp|P04350|TBB4A_HUMAN	sp|P04350|TBB4A_HUMAN	18	3	2		1	18	3	2	18	18	18	17	17	18	3	3	3	3	3	3	2	2	2	2	2	2	48.6	11.7	7.7	49.585	444	444	0	35.569	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	48.6	48.6	48.6	42.8	48.6	48.6	34188000	3595700	4223900	3397000	9596200	6393500	6981700	4122200	5509000	3853500	7821800	5778900	5748800	0	2	1	1	1	3	8				286	440;715;2044;2045;2174;2389;3315;3344;3425;3426;3711;3966;4172;4912;5439;5900;6154;8090	False;False;False;False;False;True;False;True;False;False;False;False;False;True;False;False;False;False	445;724;725;2076;2077;2208;2426;3366;3367;3397;3479;3480;3481;3767;4024;4025;4236;4237;4984;5545;6015;6274;8247	2626;2627;2628;2629;2630;2631;2632;2633;2634;2635;2636;4284;4285;4286;4287;4288;4289;4290;4291;4292;4293;4294;4295;4296;4297;12236;12237;12238;12239;12240;12241;12242;12243;12244;12245;12246;13033;13034;13035;13036;13037;13038;14327;14328;14329;14330;14331;14332;20220;20221;20222;20223;20224;20225;20226;20227;20228;20397;20398;20399;20400;20401;20402;20849;20850;20851;20852;20853;20854;20855;20856;20857;20858;20859;20860;20861;20862;20863;20864;22604;22605;22606;22607;22608;22609;24242;24243;24244;24245;24246;24247;24248;24249;25497;25498;25499;25500;25501;25502;25503;25504;25505;25506;25507;25508;25509;25510;25511;25512;25513;25514;29993;29994;29995;29996;29997;29998;33443;33444;33445;33446;33447;33448;33449;33450;33451;33452;33453;33454;33455;36320;36321;36322;36323;36324;36325;36326;36327;36328;36329;36330;36331;37777;37778;37779;37780;37781;50059;50060;50061;50062;50063;50064	2717;2718;2719;2720;2721;2722;2723;2724;2725;2726;2727;2728;2729;2730;2731;2732;2733;2734;4429;4430;4431;4432;4433;4434;4435;4436;4437;4438;4439;12251;12252;12253;12254;12255;12256;12257;12258;12259;12260;13114;13115;13116;13117;14423;20497;20498;20499;20500;20501;20502;20503;20504;20505;20506;20507;20508;20509;20510;20511;20512;20513;20514;20515;20516;20517;20640;20641;20642;20643;20644;21085;21086;21087;21088;21089;21090;21091;21092;21093;21094;21095;21096;21097;21098;21099;21100;21101;21102;21103;21104;21105;21106;21107;22707;22708;22709;22710;22711;22712;22713;22714;22715;22716;22717;22718;24337;24338;24339;24340;24341;24342;24343;24344;24345;24346;24347;24348;24349;24350;24351;24352;24353;24354;24355;24356;24357;25559;25560;25561;25562;25563;25564;25565;25566;25567;25568;25569;25570;25571;25572;25573;25574;25575;25576;25577;25578;25579;25580;25581;30042;30043;30044;33616;33617;33618;33619;33620;33621;33622;33623;33624;33625;33626;36375;36376;36377;36378;36379;36380;36381;37828;37829;37830;37831;37832;37833;37834;50373;50374;50375;50376;50377;50378;50379;50380;50381;50382;50383;50384	2732;4439;12252;12260;13116;14423;20504;20643;21089;21106;22718;24346;25574;30044;33622;36375;37829;50382	39;40;41;42;43	73;164;257;267;388
sp|P04406|G3P_HUMAN	sp|P04406|G3P_HUMAN	20	20	20		1	20	20	20	15	17	18	20	18	20	15	17	18	20	18	20	15	17	18	20	18	20	65.4	65.4	65.4	36.053	335	335	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	59.7	61.2	61.2	65.4	51.6	65.4	7793600000	954930000	940930000	1347400000	1737100000	1161500000	1651700000	950670000	1055200000	1081600000	1492400000	1131000000	1424000000	54	55	54	61	70	68	362				287	153;154;2218;2417;3214;4240;4785;4786;4787;5991;5992;7184;7185;7354;7357;7358;7377;7731;7732;7854	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	155;156;2253;2454;3263;4305;4857;4858;4859;6106;6107;6108;7322;7323;7495;7496;7499;7500;7501;7502;7521;7883;7884;8007	916;917;918;919;920;921;922;923;924;13287;13288;13289;13290;13291;13292;13293;13294;13295;13296;13297;13298;14510;14511;14512;14513;14514;14515;14516;14517;14518;19561;19562;19563;19564;19565;19566;25913;25914;25915;25916;25917;25918;25919;25920;25921;25922;25923;25924;25925;29207;29208;29209;29210;29211;29212;29213;29214;29215;29216;29217;29218;29219;29220;29221;29222;29223;29224;29225;29226;29227;29228;29229;29230;29231;29232;29233;29234;36853;36854;36855;36856;36857;36858;36859;36860;36861;36862;36863;36864;36865;36866;36867;36868;36869;36870;36871;36872;36873;36874;36875;36876;36877;36878;36879;36880;36881;36882;44425;44426;44427;44428;44429;44430;44431;44432;44433;44434;44435;44436;44437;44438;45500;45501;45502;45503;45504;45505;45506;45507;45508;45509;45510;45511;45512;45513;45514;45515;45516;45517;45518;45519;45520;45521;45522;45523;45524;45525;45526;45539;45540;45541;45542;45543;45544;45545;45546;45547;45548;45549;45550;45551;45552;45553;45554;45555;45556;45557;45558;45559;45560;45561;45562;45691;45692;47820;47821;47822;47823;47824;47825;47826;47827;47828;47829;47830;47831;47832;47833;47834;47835;47836;47837;48581;48582;48583;48584;48585;48586;48587;48588;48589;48590;48591;48592	996;997;998;999;13348;13349;13350;13351;13352;13353;13354;13355;13356;13357;13358;13359;13360;13361;13362;13363;13364;13365;13366;13367;13368;14626;14627;14628;14629;14630;14631;14632;14633;19792;19793;19794;19795;19796;25981;25982;25983;25984;25985;25986;25987;25988;25989;25990;25991;25992;25993;25994;25995;25996;25997;25998;25999;26000;26001;26002;26003;26004;26005;26006;26007;26008;26009;26010;26011;26012;26013;26014;26015;26016;26017;26018;26019;26020;26021;29195;29196;29197;29198;29199;29200;29201;29202;29203;29204;29205;29206;29207;29208;29209;29210;29211;29212;29213;29214;29215;29216;29217;29218;29219;29220;29221;29222;29223;29224;29225;29226;29227;29228;29229;29230;29231;29232;29233;29234;29235;29236;29237;29238;29239;29240;29241;29242;29243;29244;29245;29246;29247;29248;36845;36846;36847;36848;36849;36850;36851;36852;36853;36854;36855;36856;36857;36858;36859;36860;36861;36862;36863;36864;36865;36866;36867;36868;36869;36870;36871;36872;36873;36874;36875;36876;36877;36878;36879;36880;36881;36882;36883;36884;36885;36886;36887;36888;36889;36890;36891;36892;36893;36894;36895;36896;36897;36898;36899;36900;36901;36902;36903;36904;36905;36906;36907;36908;36909;36910;36911;44652;44653;44654;44655;44656;44657;44658;44659;44660;44661;44662;44663;44664;45672;45673;45674;45675;45676;45677;45678;45679;45680;45681;45682;45683;45684;45685;45686;45687;45688;45689;45690;45691;45692;45693;45694;45695;45696;45697;45698;45699;45700;45701;45702;45703;45704;45705;45706;45707;45708;45709;45710;45711;45712;45713;45714;45715;45716;45717;45718;45719;45720;45721;45722;45723;45724;45725;45726;45727;45728;45729;45730;45731;45738;45739;45740;45741;45742;45743;45744;45745;45746;45747;45748;45749;45750;45751;45752;45753;45754;45755;45756;45757;45758;45759;45760;45761;45762;45763;45764;45765;45766;45767;45768;45769;45770;45771;45772;45773;45774;45775;45776;45777;45778;45779;45780;45781;45782;45783;45784;45969;48174;48175;48176;48177;48178;48179;48180;48181;48182;48183;48184;48185;48186;48187;48188;48189;48190;48191;48192;48193;48194;48195;48196;48914;48915;48916;48917;48918;48919;48920;48921;48922;48923;48924;48925;48926;48927;48928;48929;48930;48931;48932	996;997;13362;14632;19794;25992;29215;29234;29246;36859;36897;44662;44664;45731;45738;45784;45969;48175;48189;48922	44;45;46	130;133;175
sp|P04792|HSPB1_HUMAN	sp|P04792|HSPB1_HUMAN	7	7	7		1	7	7	7	6	7	7	7	6	6	6	7	7	7	6	6	6	7	7	7	6	6	62	62	62	22.782	205	205	0	189.16	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	54.1	62	62	62	62	62	706660000	57712000	100440000	110490000	164460000	126320000	147230000	88214000	119710000	70989000	154500000	128040000	117560000	8	10	7	17	9	14	65				288	2575;3867;3963;4078;4517;7668;8178	True;True;True;True;True;True;True	2612;3923;4021;4142;4586;7819;8338	15497;15498;15499;15500;15501;15502;15503;15504;15505;15506;15507;15508;23620;23621;23622;23623;23624;23625;24212;24213;24214;24215;24216;24217;24218;24219;24220;24221;24222;24223;24923;24924;24925;24926;24927;24928;27597;27598;27599;27600;27601;27602;27603;27604;47431;47432;47433;47434;47435;47436;47437;47438;47439;47440;50582;50583;50584;50585	15587;15588;15589;15590;15591;15592;15593;15594;15595;15596;15597;15598;15599;15600;23677;23678;23679;23680;23681;23682;23683;23684;23685;23686;23687;23688;23689;23690;23691;23692;23693;24306;24307;24308;24309;24310;24311;24312;24313;24314;24993;24994;24995;24996;24997;24998;24999;25000;25001;25002;25003;25004;25005;25006;25007;25008;27638;27639;27640;27641;27642;47791;47792;47793;47794;47795;50866	15593;23686;24313;25003;27640;47793;50866		
sp|P04843|RPN1_HUMAN	sp|P04843|RPN1_HUMAN	2	2	2		1	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	5.6	5.6	5.6	68.569	607	607	0	17.768	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	2.8	2.8	5.6	5.6	5.6	5.6	11679000	1155100	622990	4706900	1024900	1200100	2968800	0	0	5272100	1043200	1122300	1607900	0	0	2	0	0	1	3				289	2142;7684	True;True	2176;7835	12835;12836;12837;12838;47513;47514;47515;47516;47517;47518	12875;12876;47852;47853	12876;47853		
sp|Q93077|H2A1C_HUMAN;sp|Q7L7L0|H2A3_HUMAN;sp|P04908|H2A1B_HUMAN;sp|Q96QV6|H2A1A_HUMAN;sp|P16104|H2AX_HUMAN	sp|Q93077|H2A1C_HUMAN;sp|Q7L7L0|H2A3_HUMAN;sp|P04908|H2A1B_HUMAN;sp|Q96QV6|H2A1A_HUMAN;sp|P16104|H2AX_HUMAN	6;6;6;3;3	2;2;2;0;0	2;2;2;0;0	;;;;	5	6	2	2	6	6	5	6	6	6	2	2	1	2	2	2	2	2	1	2	2	2	35.4	13.8	13.8	14.105	130	130;130;130;131;143	0	29.892	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.4	35.4	35.4	35.4	35.4	35.4	41719000	3554700	4380700	13280000	7452400	5624500	7426600	3545000	4991800	0	7074200	5592400	6031200	2	2	1	2	3	2	12				290	229;2854;2856;2858;5172;7698	False;False;False;True;True;False	232;2895;2897;2899;5272;7849	1326;1327;1328;1329;1330;1331;17271;17272;17273;17274;17275;17276;17282;17283;17284;17285;17286;17287;17288;17289;17308;17309;17310;17311;17312;17313;17314;31684;31685;31686;31687;31688;47591;47592;47593;47594;47595;47596;47597;47598;47599;47600;47601;47602;47603	1374;1375;1376;1377;1378;1379;1380;1381;1382;1383;1384;1385;1386;1387;1388;17330;17331;17332;17333;17334;17339;17340;17341;17342;17343;17358;17359;17360;17361;17362;17363;17364;31788;31789;31790;31791;31792;47930;47931;47932;47933;47934;47935;47936;47937;47938;47939;47940;47941;47942;47943;47944;47945;47946;47947;47948;47949;47950;47951;47952;47953;47954	1376;17334;17343;17363;31790;47943		
sp|P13637|AT1A3_HUMAN;sp|P05023|AT1A1_HUMAN;sp|P50993|AT1A2_HUMAN	sp|P13637|AT1A3_HUMAN;sp|P05023|AT1A1_HUMAN;sp|P50993|AT1A2_HUMAN	2;2;1	2;2;1	2;2;1	;;	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2.9	2.9	2.9	111.75	1013	1013;1023;1020	0	13.511	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	2.9	2.9	2.9	2.9	2.9	2.9	11236000	1469300	1342600	2421300	1809700	1480600	2712500	1576400	1580300	1889700	1690600	1546800	2406200	0	0	1	1	0	2	4				291	2689;4483	True;True	2727;4551	16146;16147;16148;16149;16150;16151;27403;27404;27405;27406;27407;27408	16199;16200;16201;27459	16199;27459		
sp|P05067|A4_HUMAN	sp|P05067|A4_HUMAN	8	8	8		1	8	8	8	7	8	8	8	8	8	7	8	8	8	8	8	7	8	8	8	8	8	14.7	14.7	14.7	86.942	770	770	0	108.35	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.5	14.7	14.7	14.7	14.7	14.7	132600000	16528000	16413000	24814000	25903000	18531000	30415000	20432000	17964000	20971000	17899000	19097000	27400000	9	7	9	9	8	11	53				292	706;3467;3918;4492;4769;6751;7239;8067	True;True;True;True;True;True;True;True	715;3522;3974;4561;4839;6877;7377;8224	4226;4227;4228;4229;4230;4231;21092;21093;21094;21095;21096;21097;23926;23927;23928;23929;23930;23931;23932;27463;27464;27465;27466;27467;27468;29105;29106;29107;29108;29109;29110;41541;41542;41543;41544;41545;41546;44759;44760;44761;44762;44763;44764;49907;49908;49909;49910;49911;49912	4380;4381;4382;4383;21346;21347;21348;21349;21350;21351;24010;24011;24012;24013;24014;24015;24016;24017;24018;24019;24020;24021;24022;24023;24024;24025;24026;24027;24028;27517;27518;27519;27520;27521;29102;29103;29104;29105;29106;29107;41550;41551;41552;41553;41554;41555;41556;44966;44967;44968;44969;44970;50242	4383;21351;24021;27520;29104;41551;44968;50242		
sp|P05089|ARGI1_HUMAN	sp|P05089|ARGI1_HUMAN	5	5	5		1	5	5	5	5	3	0	4	3	2	5	3	0	4	3	2	5	3	0	4	3	2	19.6	19.6	19.6	34.735	322	322	0	35.066	By MS/MS	By matching		By MS/MS	By matching	By matching	19.6	13.7	0	16.1	13.7	9.9	25010000	12425000	1784900	0	7748100	2067800	983530	14576000	2320000	0	3873600	2337200	1720700	5	0	0	1	0	0	6				293	926;1147;3447;6776;7545	True;True;True;True;True	940;1167;3502;6902;7693	5566;5567;6918;6919;6920;20979;20980;20981;20982;20983;41705;41706;41707;46708;46709;46710;46711	5671;7123;21241;41719;47035;47036	5671;7123;21241;41719;47035		
sp|P12236|ADT3_HUMAN;sp|P05141|ADT2_HUMAN;sp|P12235|ADT1_HUMAN	sp|P12236|ADT3_HUMAN;sp|P05141|ADT2_HUMAN;sp|P12235|ADT1_HUMAN	2;2;1	2;2;1	2;2;1	;;	3	2	2	2	2	0	2	0	0	2	2	0	2	0	0	2	2	0	2	0	0	2	5.7	5.7	5.7	32.866	298	298;298;298	0	11.503	By MS/MS		By MS/MS			By MS/MS	5.7	0	5.7	0	0	5.7	7684700	1555800	0	3316500	0	0	2812400	1881700	0	2609000	0	0	2485200	1	0	1	0	0	2	4				294	1626;2235	True;True	1652;2270	9794;9795;9796;13394;13395;13396	9863;9864;9865;13457	9865;13457		
sp|P05198|IF2A_HUMAN	sp|P05198|IF2A_HUMAN	9	9	9		1	9	9	9	8	8	8	8	8	9	8	8	8	8	8	9	8	8	8	8	8	9	36.8	36.8	36.8	36.112	315	315	0	100.5	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.4	31.4	31.4	32.1	33	36.8	110500000	14197000	15729000	20003000	23258000	14957000	22359000	19516000	22342000	15480000	12476000	15566000	20999000	5	4	3	1	4	8	25				295	1592;2190;2687;2777;3330;6662;7085;7783;8194	True;True;True;True;True;True;True;True;True	1618;2224;2725;2817;3382;6788;7221;7936;8354	9592;9593;9594;13122;13123;13124;13125;13126;13127;16134;16135;16136;16137;16138;16139;16721;16722;16723;16724;16725;16726;20312;20313;20314;20315;20316;20317;41017;41018;41019;41020;41021;43689;43690;43691;43692;43693;43694;48156;48157;48158;48159;48160;50687;50688;50689;50690;50691;50692	9659;13197;16192;16849;16850;16851;16852;16853;16854;20565;20566;40999;41000;41001;41002;41003;41004;43769;48510;48511;48512;50978;50979;50980;50981	9659;13197;16192;16852;20566;41001;43769;48511;50979		
sp|P05386|RLA1_HUMAN	sp|P05386|RLA1_HUMAN	2	1	1		1	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	28.9	14	14	11.514	114	114	0	39.995	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.9	28.9	28.9	28.9	28.9	28.9	81775000	13712000	11732000	7850100	17709000	12254000	18517000	0	0	0	0	0	14809000	4	3	3	2	3	2	17				296	35;3621	True;False	35;3677	208;209;210;211;212;213;21981;21982;21983;21984;21985;21986	219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;22118;22119;22120;22121;22122	235;22120		
sp|P05387|RLA2_HUMAN	sp|P05387|RLA2_HUMAN	10	10	9		1	10	10	9	9	10	10	10	10	10	9	10	10	10	10	10	8	9	9	9	9	9	93	93	78.3	11.665	115	115	0	185.59	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	93	93	93	93	93	93	822360000	109200000	99257000	104180000	194830000	149040000	165840000	121780000	117470000	89276000	187140000	137150000	137030000	13	12	11	11	13	18	78				297	3228;3229;3230;3621;3687;3952;3953;5238;7381;8186	True;True;True;True;True;True;True;True;True;True	3277;3278;3279;3677;3743;4010;4011;5339;7525;8346	19644;19645;19646;19647;19648;19649;19650;19651;19652;19653;19654;19655;19656;19657;19658;19659;19660;21981;21982;21983;21984;21985;21986;22466;22467;22468;22469;22470;22471;24137;24138;24139;24140;24141;24142;24143;24144;24145;24146;24147;24148;24149;24150;24151;24152;24153;24154;24155;24156;24157;24158;24159;32093;32094;32095;32096;32097;32098;45717;45718;45719;45720;45721;45722;50635;50636;50637;50638;50639;50640;50641;50642;50643;50644;50645;50646	19883;19884;19885;19886;19887;19888;19889;19890;19891;19892;19893;19894;19895;19896;19897;19898;19899;19900;19901;19902;19903;19904;19905;19906;19907;19908;19909;19910;19911;22118;22119;22120;22121;22122;22597;24245;24246;24247;24248;24249;24250;24251;24252;24253;24254;24255;24256;24257;32174;32175;32176;32177;32178;32179;32180;32181;32182;32183;32184;32185;32186;45991;45992;45993;45994;45995;50927;50928;50929;50930;50931;50932;50933;50934;50935;50936;50937;50938;50939	19883;19892;19906;22120;22597;24248;24257;32179;45993;50931		
sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN	sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN	9;5	9;5	9;5	;	2	9	9	9	8	8	8	9	8	6	8	8	8	9	8	6	8	8	8	9	8	6	35.3	35.3	35.3	34.273	317	317;317	0	103.24	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.3	35.3	35.3	35.3	35.3	32.5	217910000	37062000	30297000	35730000	49630000	31561000	33631000	37788000	36372000	31787000	41189000	33935000	30725000	9	10	9	13	9	7	57				298	189;1011;1294;2552;2553;2659;3178;6995;7415	True;True;True;True;True;True;True;True;True	191;1027;1315;2589;2590;2697;3224;7127;7560	1091;1092;1093;1094;1095;1096;6085;6086;6087;6088;6089;7789;7790;7791;7792;7793;7794;15361;15362;15363;15364;15365;15366;15998;15999;16000;16001;16002;16003;19315;19316;19317;19318;19319;19320;43058;43059;43060;43061;43062;43063;45917;45918;45919;45920;45921;45922	1143;1144;1145;1146;1147;1148;6195;6196;6197;6198;6199;7942;15473;15474;15475;15476;15477;15478;16052;16053;16054;16055;16056;16057;16058;16059;16060;16061;19566;19567;19568;19569;19570;19571;19572;19573;19574;43095;43096;43097;43098;43099;43100;43101;43102;43103;43104;43105;43106;43107;43108;46177;46178;46179;46180;46181;46182	1147;6199;7942;15477;15478;16054;19566;43098;46180		
sp|P05455|LA_HUMAN	sp|P05455|LA_HUMAN	14	14	14		1	14	14	14	13	13	13	13	14	14	13	13	13	13	14	14	13	13	13	13	14	14	27.5	27.5	27.5	46.836	408	408	0	138.16	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.5	27.5	27.5	24	27.5	27.5	261580000	31039000	30634000	37148000	67259000	45322000	50175000	37302000	39182000	34323000	47090000	48867000	44618000	12	13	13	14	15	18	85				299	1290;1758;1759;2616;2617;3147;3148;4740;5267;5268;5976;6399;8036;8037	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1311;1784;1785;2654;2655;3192;3193;4810;5368;5369;6091;6523;8193;8194	7747;7748;7749;7750;7751;10545;10546;10547;10548;10549;10550;10551;10552;10553;10554;10555;10556;15750;15751;15752;15753;15754;15755;15756;15757;15758;15759;15760;15761;19117;19118;19119;19120;19121;19122;19123;19124;19125;28924;28925;28926;28927;28928;28929;32275;32276;32277;32278;32279;32280;32281;32282;32283;32284;32285;32286;32287;32288;36736;36737;36738;36739;36740;36741;39335;39336;39337;39338;39339;39340;49699;49700;49701;49702;49703;49704;49705;49706;49707;49708;49709;49710;49711;49712;49713;49714;49715	7914;10549;10550;10551;10552;10553;10554;10555;10556;10557;15847;15848;15849;15850;15851;15852;15853;15854;15855;15856;15857;15858;15859;15860;15861;15862;19350;19351;19352;19353;19354;19355;28875;28876;28877;28878;28879;28880;28881;28882;28883;28884;28885;28886;32391;32392;32393;32394;32395;32396;32397;32398;32399;32400;32401;32402;32403;32404;32405;32406;36684;36685;36686;36687;36688;39405;39406;39407;39408;39409;39410;50014;50015;50016;50017;50018;50019;50020;50021;50022;50023;50024;50025;50026;50027	7914;10553;10557;15850;15858;19350;19355;28878;32400;32404;36685;39408;50014;50022		
sp|P05556|ITB1_HUMAN	sp|P05556|ITB1_HUMAN	2	2	2		1	2	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	3.6	3.6	3.6	88.414	798	798	0	12.202	By matching	By matching	By MS/MS	By matching	By matching	By matching	2.3	2.3	3.6	2.3	2.3	2.3	15419000	1489300	1069100	5078300	3771700	2658900	1351600	0	0	4855400	0	0	0	0	0	1	0	0	0	1				300	5489;6281	True;True	5595;6402	33753;33754;33755;33756;33757;33758;38606	33998;38680	33998;38680		
sp|P05997|CO5A2_HUMAN	sp|P05997|CO5A2_HUMAN	6	6	6		1	6	6	6	5	4	5	6	5	5	5	4	5	6	5	5	5	4	5	6	5	5	6.7	6.7	6.7	144.91	1499	1499	0	115.72	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.4	4.4	5.4	6.7	5.4	5.4	662190000	128080000	73585000	142820000	107290000	86307000	124100000	122800000	111010000	137180000	88194000	77398000	98396000	9	8	8	8	9	10	52				301	2219;2636;5774;6152;6325;6382	True;True;True;True;True;True	2254;2674;5885;6272;6448;6506	13299;13300;13301;13302;13303;13304;13305;15868;15869;15870;15871;15872;15873;35461;35462;35463;35464;35465;35466;35467;35468;35469;35470;35471;37773;38912;38913;38914;38915;38916;38917;39241;39242;39243;39244;39245	13369;13370;13371;13372;13373;13374;13375;13376;13377;13378;13379;13380;13381;13382;15933;15934;15935;15936;15937;15938;35549;35550;35551;35552;35553;35554;35555;35556;35557;35558;35559;37825;39015;39016;39017;39018;39019;39020;39021;39022;39023;39024;39025;39026;39327;39328;39329;39330;39331;39332;39333;39334	13375;15938;35550;37825;39020;39328	47	211
sp|P06132|DCUP_HUMAN	sp|P06132|DCUP_HUMAN	4	4	4		1	4	4	4	3	4	3	3	4	4	3	4	3	3	4	4	3	4	3	3	4	4	16.3	16.3	16.3	40.786	367	367	0	24.463	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.6	16.3	13.6	13.6	16.3	16.3	63195000	7843700	7073100	10861000	14001000	9821400	13594000	8628300	9021800	12000000	10372000	9124800	11242000	1	0	1	0	1	3	6				302	1811;2572;5721;8018	True;True;True;True	1837;2609;5832;8175	10861;10862;10863;10864;10865;10866;15479;15480;15481;15482;15483;15484;35143;35144;35145;49592;49593;49594;49595;49596;49597	10863;15578;15579;15580;15581;35306;49894;49895;49896	10863;15579;35306;49896		
sp|P06280|AGAL_HUMAN	sp|P06280|AGAL_HUMAN	8	8	8		1	8	8	8	8	8	8	7	8	8	8	8	8	7	8	8	8	8	8	7	8	8	21.9	21.9	21.9	48.766	429	429	0	92.385	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.9	21.9	21.9	21.9	21.9	21.9	422450000	73627000	50360000	84934000	82881000	56487000	74165000	85594000	62211000	68572000	72428000	57811000	60454000	8	7	9	8	6	9	47				303	413;1156;3731;5201;6162;6192;6583;6959	True;True;True;True;True;True;True;True	418;1176;3787;5301;6282;6312;6709;7091	2454;2455;2456;2457;2458;2459;6978;6979;6980;6981;6982;22739;22740;22741;22742;22743;22744;31841;31842;31843;31844;31845;31846;37816;37817;37818;37819;37820;37821;37989;37990;37991;37992;37993;37994;37995;40521;40522;40523;40524;40525;40526;42848;42849;42850;42851;42852;42853	2520;2521;2522;2523;2524;2525;2526;2527;2528;7171;22818;22819;22820;22821;22822;22823;31928;31929;31930;31931;31932;31933;31934;31935;31936;31937;31938;31939;37856;38015;38016;38017;38018;38019;38020;40531;40532;40533;40534;40535;40536;42894;42895;42896;42897;42898;42899	2525;7171;22820;31935;37856;38018;40533;42896		
